,OU,Ubers
Bulbasaur,Y,Y
Ivysaur,Y,Y
Venusaur,Y,Y
Charmander,Y,Y
Charmeleon,Y,Y
Charizard,Y,Y
Squirtle,Y,Y
Wartortle,Y,Y
Blastoise,Y,Y
Caterpie,Y,Y
Metapod,Y,Y
Butterfree,Y,Y
Weedle,Y,Y
Kakuna,Y,Y
Beedrill,Y,Y
Pidgey,Y,Y
Pidgeotto,Y,Y
Pidgeot,Y,Y
Rattata,Y,Y
Raticate,Y,Y
Spearow,Y,Y
Fearow,Y,Y
Ekans,Y,Y
Arbok,Y,Y
Pikachu,Y,Y
Raichu,Y,Y
Sandshrew,Y,Y
Sandslash,Y,Y
Nidoranf,Y,Y
Nidorina,Y,Y
Nidoqueen,Y,Y
Nidoranm,Y,Y
Nidorino,Y,Y
Nidoking,Y,Y
Clefairy,Y,Y
Clefable,Y,Y
Vulpix,Y,Y
Ninetales,Y,Y
Jigglypuff,Y,Y
Wigglytuff,Y,Y
Zubat,Y,Y
Golbat,Y,Y
Oddish,Y,Y
Gloom,Y,Y,UU,OU,Ubers
Bulbasaur,Y,Y,Y
Ivysaur,Y,Y,Y
Venusaur,Y,Y,Y
Charmander,Y,Y,Y
Charmeleon,Y,Y,Y
Charizard,Y,Y,Y
Squirtle,Y,Y,Y
Wartortle,Y,Y,Y
Blastoise,Y,Y,Y
Caterpie,Y,Y,Y
Metapod,Y,Y,Y
Butterfree,Y,Y,Y
Weedle,Y,Y,Y
Kakuna,Y,Y,Y
Beedrill,Y,Y,Y
Pidgey,Y,Y,Y
Pidgeotto,Y,Y,Y
Pidgeot,Y,Y,Y
Rattata,Y,Y,Y
Raticate,Y,Y,Y
Spearow,Y,Y,Y
Fearow,Y,Y,Y
Ekans,Y,Y,Y
Arbok,Y,Y,Y
Pikachu,Y,Y,Y
Raichu,Y,Y,Y
Sandshrew,Y,Y,Y
Sandslash,Y,Y,Y
Nidoranf,Y,Y,Y
Nidorina,Y,Y,Y
Nidoqueen,Y,Y,Y
Nidoranm,Y,Y,Y
Nidorino,Y,Y,Y
Nidoking,Y,Y,Y
Clefairy,Y,Y,Y
Clefable,Y,Y,Y
Vulpix,Y,Y,Y
Ninetales,Y,Y,Y
Jigglypuff,Y,Y,Y
Wigglytuff,Y,Y,Y
Zubat,Y,Y,Y
Golbat,Y,Y,Y
Oddish,Y,Y,Y
Gloom,Y,Y,Y
Vileplume,Y,Y,Y
Paras,Y,Y,Y
Parasect,Y,Y,Y
Venonat,Y,Y,Y
Venomoth,Y,Y,Y
Diglett,Y,Y,Y
Dugtrio,Y,Y,Y
Meowth,Y,Y,Y
Persian,Y,Y,Y
Psyduck,Y,Y,Y
Golduck,Y,Y,Y
Mankey,Y,Y,Y
Primeape,Y,Y,Y
Growlithe,Y,Y,Y
Arcanine,Y,Y,Y
Poliwag,Y,Y,Y
Poliwhirl,Y,Y,Y
Poliwrath,Y,Y,Y
Abra,Y,Y,Y
Kadabra,Y,Y,Y
Alakazam,N,Y,Y
Machop,Y,Y,Y
Machoke,Y,Y,Y
Machamp,Y,Y,Y
Bellsprout,Y,Y,Y
Weepinbell,Y,Y,Y
Victreebel,N,Y,Y
Tentacool,Y,Y,Y
Tentacruel,Y,Y,Y
Geodude,Y,Y,Y
Graveler,Y,Y,Y
Golem,Y,Y,Y
Ponyta,Y,Y,Y
Rapidash,Y,Y,Y
Slowpoke,Y,Y,Y
Slowbro,N,Y,Y
Magnemite,Y,Y,Y
Magneton,Y,Y,Y
Farfetchd,Y,Y,Y
Doduo,Y,Y,Y
Dodrio,Y,Y,Y
Seel,Y,Y,Y
Dewgong,Y,Y,Y
Grimer,Y,Y,Y
Muk,Y,Y,Y
Shellder,Y,Y,Y
Cloyster,N,Y,Y
Gastly,Y,Y,Y
Haunter,Y,Y,Y
Gengar,N,Y,Y
Onix,Y,Y,Y
Drowzee,Y,Y,Y
Hypno,Y,Y,Y
Krabby,Y,Y,Y
Kingler,Y,Y,Y
Voltorb,Y,Y,Y
Electrode,Y,Y,Y
Exeggcute,Y,Y,Y
Exeggutor,Y,Y,Y
Cubone,Y,Y,Y
Marowak,Y,Y,Y
Hitmonlee,Y,Y,Y
Hitmonchan,Y,Y,Y
Lickitung,Y,Y,Y
Koffing,Y,Y,Y
Weezing,Y,Y,Y
Rhyhorn,Y,Y,Y
Rhydon,N,Y,Y
Chansey,N,Y,Y
Tangela,Y,Y,Y
Kangaskhan,Y,Y,Y
Horsea,Y,Y,Y
Seadra,Y,Y,Y
Goldeen,Y,Y,Y
Seaking,Y,Y,Y
Staryu,Y,Y,Y
Starmie,N,Y,Y
Mrmime,Y,Y,Y
Scyther,Y,Y,Y
Jynx,Y,Y,Y
Electabuzz,Y,Y,Y
Magmar,Y,Y,Y
Pinsir,Y,Y,Y
Tauros,N,Y,Y
Magikarp,Y,Y,Y
Gyarados,Y,Y,Y
Lapras,N,Y,Y
Ditto,Y,Y,Y
Eevee,Y,Y,Y
Vaporeon,Y,Y,Y
Jolteon,N,Y,Y
Flareon,Y,Y,Y
Porygon,Y,Y,Y
Omanyte,Y,Y,Y
Omastar,Y,Y,Y
Kabuto,Y,Y,Y
Kabutops,Y,Y,Y
Aerodactyl,Y,Y,Y
Snorlax,N,Y,Y
Articuno,Y,Y,Y
Zapdos,Y,Y,Y
Moltres,Y,Y,Y
Dratini,Y,Y,Y
Dragonair,Y,Y,Y
Dragonite,Y,Y,Y
Mewtwo,N,N,Y
Mew,N,N,Y
Vileplume,Y,Y
Paras,Y,Y
Parasect,Y,Y
Venonat,Y,Y
